Player name               Age        Height(cm)      Weight(kg)     
Kevin Huerter             22.0       200.66          86.18
Kevin Knox II             21.0       200.66          97.52
Kevin Porter Jr.          21.0       193.04          92.08
Khyri Thomas              25.0       190.5           95.25
Killian Hayes             19.0       195.58          88.45
Kira Lewis Jr.            20.0       185.42          77.11
Kostas Antetokounmpo      23.0       208.28          90.72
Kris Dunn                 27.0       190.5           92.99
Kyle Guy                  23.0       185.42          75.75
Kyle Kuzma                25.0       208.28          100.24
LaMelo Ball               19.0       198.12          81.65
Landry Shamet             24.0       193.04          86.18
Jordan Nwora              22.0       203.2           102.06
Jordan Poole              22.0       193.04          88.00
Josh Green                20.0       195.58          90.72
Josh Hart                 26.0       195.58          97.52
Josh Jackson              24.0       203.2           93.89
Josh Okogie               22.0       193.04          96.62
Juancho Hernangomez       25.0       205.74          97.07
Justin James              24.0       200.66          86.18
Justin Patton             24.0       210.82          109.32
Justin Robinson           23.0       185.42          88.45
KZ Okpala                 22.0       203.2           97.52
Keita Bates-Diop          25.0       203.2           103.87
Keldon Johnson            21.0       195.58          99.79
Keljin Blevins            25.0       193.04          90.72
Justin Jackson            26.0       203.2           99.79
Lauri Markkanen           24.0       213.36          108.86
Lonnie Walker IV          22.0       193.04          92.53
Michael Porter Jr.        23.0       208.28          98.88
Mikal Bridges             24.0       198.12          94.80
Miles Bridges             23.0       198.12          102.06
Mitchell Robinson         23.0       213.36          108.86
Miye Oni                  23.0       195.58          93.44
Mo Bamba                  23.0       213.36          104.78
Monte Morris              26.0       187.96          83.01
Moritz Wagner             24.0       210.82          111.13
Nassir Little             21.0       195.58          99.79
Nick Richards             23.0       213.36          111.13
Nickeil Alexander-Walker  22.0       198.12          92.99
Nico Mannion              20.0       187.96          86.18
Nicolas Claxton           22.0       210.82          97.52
Mfiondu Kabengele         23.0       205.74          113.40
Lonzo Ball                23.0       198.12          86.18
Luka Doncic               22.0       200.66          104.33
Luka Samanic              21.0       208.28          102.97
Luke Kennard              25.0       195.58          93.44
Malachi Flynn             23.0       185.42          79.38
Malcolm Brogdon           28.0       195.58          103.87
Malik Beasley             24.0       193.04          84.82
Malik Monk                23.0       190.5           90.72
Markelle Fultz            23.0       190.5           94.80
Marques Bolden            23.0       208.28          112.94
Marquese Chriss           23.0       205.74          108.86
Marvin Bagley III         22.0       210.82          106.59
Matisse Thybulle          24.0       195.58          91.17
Average Height is 
200.001
Average Weight is 
97.3679
